Adj Close,Close,High,Low,Open,Volume,Datetime
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,
75950.7578125,75950.7578125,75950.7578125,75950.7578125,75950.7578125,0,2024-11-08 01:44:00+00:00
76041.8671875,76041.8671875,76041.8671875,76041.8671875,76041.8671875,0,2024-11-08 01:46:00+00:00
76130.3671875,76130.3671875,76130.3671875,76130.3671875,76130.3671875,0,2024-11-08 01:47:00+00:00
76112.8671875,76112.8671875,76112.8671875,76112.8671875,76112.8671875,11792384,2024-11-08 01:48:00+00:00
76053.5234375,76053.5234375,76053.5234375,76053.5234375,76053.5234375,0,2024-11-08 01:49:00+00:00
76041.1171875,76041.1171875,76041.1171875,76041.1171875,76041.1171875,0,2024-11-08 01:50:00+00:00
76020.328125,76020.328125,76020.328125,76020.328125,76020.328125,0,2024-11-08 01:52:00+00:00
75989.0703125,75989.0703125,75989.0703125,75989.0703125,75989.0703125,0,2024-11-08 01:53:00+00:00
75990.15625,75990.15625,75990.15625,75990.15625,75990.15625,0,2024-11-08 01:55:00+00:00
75987.53125,75987.53125,75987.53125,75987.53125,75987.53125,0,2024-11-08 01:56:00+00:00
76050.5,76050.5,76050.5,76050.5,76050.5,0,2024-11-08 01:57:00+00:00
76024.6875,76024.6875,76024.6875,76024.6875,76024.6875,0,2024-11-08 01:59:00+00:00
76047.3203125,76047.3203125,76047.3203125,76047.3203125,76047.3203125,0,2024-11-08 02:00:00+00:00
76037.453125,76037.453125,76037.453125,76037.453125,76037.453125,0,2024-11-08 02:01:00+00:00
75983.7109375,75983.7109375,75983.7109375,75983.7109375,75983.7109375,0,2024-11-08 02:02:00+00:00
75981.3515625,75981.3515625,75981.3515625,75981.3515625,75981.3515625,0,2024-11-08 02:04:00+00:00
75965.5625,75965.5625,75965.5625,75965.5625,75965.5625,8003584,2024-11-08 02:06:00+00:00
75889.3515625,75889.3515625,75889.3515625,75889.3515625,75889.3515625,0,2024-11-08 02:07:00+00:00
75883.5703125,75883.5703125,75883.5703125,75883.5703125,75883.5703125,0,2024-11-08 02:08:00+00:00
