Date,Adj Close,Close,High,Low,Open,Volume
2024-10-21 00:00:00+00:00,69009.3671875,69009.3671875,69009.3671875,69009.3671875,69009.3671875,0.0
2024-10-21 00:01:00+00:00,69002.984375,69002.984375,69002.984375,69002.984375,69002.984375,1761280.0
2024-10-21 00:02:00+00:00,68993.6796875,68993.6796875,68993.6796875,68993.6796875,68993.6796875,0.0
2024-10-21 00:03:00+00:00,68999.046875,68999.046875,68999.046875,68999.046875,68999.046875,3409920.0
2024-10-21 00:04:00+00:00,68973.65625,68973.65625,68973.65625,68973.65625,68973.65625,12740608.0
2024-10-21 00:06:00+00:00,68966.5625,68966.5625,68966.5625,68966.5625,68966.5625,3717120.0
2024-10-21 00:08:00+00:00,69041.5859375,69041.5859375,69041.5859375,69041.5859375,69041.5859375,12175360.0
2024-10-21 00:10:00+00:00,69048.234375,69048.234375,69048.234375,69048.234375,69048.234375,7720960.0
2024-10-21 00:11:00+00:00,69056.453125,69056.453125,69056.453125,69056.453125,69056.453125,0.0
2024-10-21 00:12:00+00:00,69070.203125,69070.203125,69070.203125,69070.203125,69070.203125,39432192.0
2024-10-21 00:13:00+00:00,69076.6328125,69076.6328125,69076.6328125,69076.6328125,69076.6328125,3084288.0
2024-10-21 00:16:00+00:00,69213.1015625,69213.1015625,69213.1015625,69213.1015625,69213.1015625,69040128.0
2024-10-21 00:18:00+00:00,69355.6640625,69355.6640625,69355.6640625,69355.6640625,69355.6640625,30810112.0
2024-10-21 00:20:00+00:00,69372.5546875,69372.5546875,69372.5546875,69372.5546875,69372.5546875,132808704.0
2024-10-21 00:21:00+00:00,69343.15625,69343.15625,69343.15625,69343.15625,69343.15625,16898048.0
2024-10-21 00:22:00+00:00,69344.0546875,69344.0546875,69344.0546875,69344.0546875,69344.0546875,39065600.0
2024-10-21 00:24:00+00:00,69424.953125,69424.953125,69424.953125,69424.953125,69424.953125,79116288.0
2024-10-21 00:25:00+00:00,69381.2890625,69381.2890625,69381.2890625,69381.2890625,69381.2890625,59185152.0
2024-10-21 00:27:00+00:00,69334.9296875,69334.9296875,69334.9296875,69334.9296875,69334.9296875,145727488.0
2024-10-21 00:28:00+00:00,69314.8359375,69314.8359375,69314.8359375,69314.8359375,69314.8359375,0.0
2024-10-21 00:29:00+00:00,69374.546875,69374.546875,69374.546875,69374.546875,69374.546875,86231040.0
2024-10-21 00:30:00+00:00,69362.4765625,69362.4765625,69362.4765625,69362.4765625,69362.4765625,14192640.0
2024-10-21 00:31:00+00:00,69427.09375,69427.09375,69427.09375,69427.09375,69427.09375,49092608.0
2024-10-21 00:33:00+00:00,69307.296875,69307.296875,69307.296875,69307.296875,69307.296875,37480448.0
2024-10-21 00:34:00+00:00,69257.546875,69257.546875,69257.546875,69257.546875,69257.546875,0.0
2024-10-21 00:35:00+00:00,69261.25,69261.25,69261.25,69261.25,69261.25,92655616.0
2024-10-21 00:36:00+00:00,69255.3359375,69255.3359375,69255.3359375,69255.3359375,69255.3359375,1402880.0
2024-10-21 00:37:00+00:00,69249.59375,69249.59375,69249.59375,69249.59375,69249.59375,80529408.0
2024-10-21 00:40:00+00:00,69271.6640625,69271.6640625,69271.6640625,69271.6640625,69271.6640625,19599360.0
2024-10-21 00:41:00+00:00,69285.3046875,69285.3046875,69285.3046875,69285.3046875,69285.3046875,44443648.0
2024-10-21 00:42:00+00:00,69261.6171875,69261.6171875,69261.6171875,69261.6171875,69261.6171875,233472.0
2024-10-21 00:43:00+00:00,69233.6171875,69233.6171875,69233.6171875,69233.6171875,69233.6171875,790528.0
2024-10-21 00:44:00+00:00,69229.5,69229.5,69229.5,69229.5,69229.5,9351168.0
2024-10-21 00:45:00+00:00,69222.96875,69222.96875,69222.96875,69222.96875,69222.96875,18309120.0
2024-10-21 00:46:00+00:00,69214.265625,69214.265625,69214.265625,69214.265625,69214.265625,0.0
2024-10-21 00:48:00+00:00,69169.0703125,69169.0703125,69169.0703125,69169.0703125,69169.0703125,22929408.0
2024-10-21 00:49:00+00:00,69175.3984375,69175.3984375,69175.3984375,69175.3984375,69175.3984375,1628160.0
2024-10-21 00:51:00+00:00,69161.828125,69161.828125,69161.828125,69161.828125,69161.828125,33169408.0
2024-10-21 00:52:00+00:00,69123.2421875,69123.2421875,69123.2421875,69123.2421875,69123.2421875,1077248.0
2024-10-21 00:54:00+00:00,69047.6484375,69047.6484375,69047.6484375,69047.6484375,69047.6484375,27533312.0
